/m/031y2;/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer;/m/0dxmyh;MISS_149;MISS_2636
/m/08966;/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month;/m/05lf_;1;1
/m/09306z;/award/award_ceremony/awards_presented./award/award_honor/honored_for;/m/0sxkh;1;28
/m/07z1m;/location/statistical_region/religions./location/religion_percentage/religion;/m/0631_;3;1
/m/01c9f2;/award/award_category/winners./award/award_honor/ceremony;/m/01bx35;1;1
/m/01c9f2;/award/award_category/winners./award/award_honor/ceremony;/m/01s695;2;1
/m/07h1h5;/sports/pro_athlete/teams./sports/sports_team_roster/team;/m/029q3k;43;114
/m/03gqgt3;/military/military_conflict/combatants./military/military_combatant_group/combatants;/m/0d060g;3;13
/m/01d8l;/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal;/m/02lq67;23;1
/m/060bp;/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office;/m/04j53;2;3
/m/08q1tg;/people/cause_of_death/people;/m/0lcx;55;1592
/m/01l_pn;/film/film/prequel;/m/01y9jr;2;2
/m/037fqp;/education/educational_institution/school_type;/m/04399;155;9
/m/070xg;/sports/sports_team/colors;/m/01g5v;226;4
/m/01hww_;/music/performance_role/regular_performances./music/group_membership/group;/m/01q99h;2;3
/m/0mwk9;/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency;/m/09nqf;59;1
/m/0ydpd;/location/location/time_zones;/m/02hcv8;16;1
/m/0kbws;/olympics/olympic_games/participating_countries;/m/04vjh;1;15
/m/0kbws;/olympics/olympic_games/participating_countries;/m/027jk;1;26
/m/01lp8;/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy;/m/04n6k;567;1
/m/01k5y0;/film/film/edited_by;/m/0dky9n;79;10
/m/06x76;/sports/sports_team/sport;/m/0jm_;1;1
/m/0xxc;/education/educational_institution/students_graduates./education/education/major_field_of_study;/m/01lj9;566;13
/m/01xwqn;/influence/influence_node/influenced_by;/m/0121rx;65;2148
/m/07jrjb;/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type;/m/0ckd1;99;1
/m/017j69;/education/educational_institution/students_graduates./education/education/major_field_of_study;/m/01mkq;13;4
/m/06kxk2;/people/person/place_of_birth;/m/01_d4;1471;4
/m/0154j;/organization/organization_member/member_of./organization/organization_membership/organization;/m/04k4l;1;1
/m/02j4sk;/people/deceased_person/place_of_death;/m/027l4q;307;38
/m/016tt2;/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film;/m/04zl8;16;1279
/m/053rxgm;/film/film/executive_produced_by;/m/0g_rs_;1;1
/m/07l450;/film/film/genre;/m/082gq;382;14
/m/0x67;/people/ethnicity/people;/m/0411q;1;766
/m/016tt2;/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film;/m/0dtfn;2;2
