00789448;_verb_group;01062739;1;1
06845599;_member_of_domain_usage;03754979;1;9
02233096;_member_meronym;02233338;2;109
03239726;_has_part;03027250;56;41
02270342;_also_see;02577061;1;1
05442131;_has_part;05436080;75;178
08860123;_member_of_domain_region;05688486;1;MISS_6015
12400489;_hypernym;12651821;23;1
01371092;_hypernym;01352059;6;1
00770151;_hypernym;00766234;MISS_1989;MISS_1
02314321;_hypernym;08102555;78;2
06754184;_hypernym;06753800;1;1
07085786;_hypernym;07085375;2;26
01908287;_hypernym;08107499;62;3
13627516;_has_part;13627327;29;28
08814333;_instance_hypernym;08524735;530;1
01046587;_hypernym;01046059;11;7
15121625;_hypernym;00028270;MISS_1614;MISS_1629
01444326;_hypernym;01441510;38;16
08159924;_hypernym;07971582;1;1
06580646;_hypernym;06568978;MISS_930;MISS_1
00951037;_hypernym;00949619;MISS_2840;MISS_2187
01696849;_member_meronym;01697837;43;45
08660339;_hypernym;08512259;324;80
00968962;_hypernym;00968211;MISS_1036;MISS_1
13266892;_hypernym;13265904;511;32
07572957;_hypernym;07566340;MISS_1928;795
07091902;_hypernym;06290637;10;3
01938426;_hypernym;01835496;3244;56
02425228;_hypernym;02424695;4;144
10686313;_hypernym;09610660;2926;122
01194418;_hypernym;02492198;6;1
01455592;_member_meronym;01455986;60;212
01008719;_synset_domain_topic_of;08441203;MISS_10664;MISS_1
06596978;_hypernym;06593296;11;30
02514988;_member_meronym;02515214;2;103
01695976;_derivationally_related_form;04681797;3;2
00630634;_hypernym;00624738;MISS_579;MISS_1
07466557;_hypernym;07470671;116;99
08174398;_member_meronym;08949093;1;1
12406715;_hypernym;12405714;1;1
07861421;_derivationally_related_form;01577513;1;1
13726074;_has_part;13725726;27;21
12224309;_hypernym;11534677;7;1
09989045;_hypernym;10129825;MISS_1543;MISS_1
07191777;_hypernym;07191279;MISS_273;MISS_1682
13286099;_derivationally_related_form;02234988;1;1
04105068;_hypernym;04014297;131;48
10128909;_hypernym;09606527;MISS_959;MISS_1
02802544;_hypernym;03120491;MISS_61;MISS_883
08621598;_hypernym;08620061;58;49
00062582;_hypernym;00089324;23;48
07040148;_hypernym;07037465;2;1
01733213;_hypernym;01714208;512;106
13060190;_hypernym;12992868;MISS_3503;129
00810729;_hypernym;00811375;1;1
06178812;_derivationally_related_form;10256080;1;1
00043902;_synset_domain_topic_of;00471613;83;1
06643408;_hypernym;06797169;12;14
08900535;_has_part;08903220;21;880
05154517;_hypernym;04723816;MISS_4222;53
01057034;_derivationally_related_form;01253379;1;1
02490004;_hypernym;02488834;MISS_483;MISS_1
10826352;_instance_hypernym;09989502;1;1
01951276;_hypernym;01953810;63;8
05673908;_derivationally_related_form;01978003;1;1
02040505;_hypernym;02021795;11;5
00740342;_synset_domain_topic_of;08441203;389;1
00376400;_hypernym;00376063;42;47
07434102;_hypernym;07433973;MISS_721;MISS_1958
08919949;_member_meronym;09697070;MISS_138;MISS_12
11020721;_instance_hypernym;10624540;MISS_523;31
08806897;_has_part;08807554;237;MISS_1781
02208118;_also_see;02311387;MISS_411;MISS_9
02156546;_derivationally_related_form;07335716;1;1
06083243;_derivationally_related_form;10806222;1;1
11746776;_member_meronym;12539306;20;433
02156546;_hypernym;02609764;64;11
01716882;_derivationally_related_form;07007945;1;1
00118733;_hypernym;00116687;21;8
04903813;_derivationally_related_form;01763829;1;1
01322854;_derivationally_related_form;00223983;1;1
00779360;_derivationally_related_form;15274695;2;11
06389753;_derivationally_related_form;01745377;1;1
12658846;_has_part;07770180;MISS_305;MISS_50
01410223;_verb_group;01236164;1;1
07359599;_derivationally_related_form;00555447;1;1
14907122;_hypernym;15047313;MISS_2452;207
08780881;_member_of_domain_region;10595361;2;11
13902048;_derivationally_related_form;01742244;1;1
01170243;_derivationally_related_form;14447908;1;1
05027529;_hypernym;05026843;MISS_327;MISS_870
00179567;_hypernym;00173338;1060;1
00802946;_derivationally_related_form;01141841;1;1
03547054;_hypernym;04191595;375;29
11338796;_instance_hypernym;09798811;30;5
02456493;_hypernym;01544692;MISS_909;MISS_1389
00964569;_derivationally_related_form;01118449;1;1
04433585;_hypernym;02886599;MISS_853;MISS_435
12409016;_hypernym;11567411;3;1
15231765;_instance_hypernym;15113229;1;1
00645493;_derivationally_related_form;04784142;1;1
04606014;_hypernym;03368141;10;95
11460281;_hypernym;11459538;MISS_334;MISS_1085
06693198;_derivationally_related_form;00860620;1;1
